Date,Open,High,Low,Close,Adj Close,Volume,Symbol
2023-05-22,18201.099609375,18335.25,18178.849609375,18314.400390625,18314.400390625,262600,^NSEI
2023-05-23,18362.900390625,18419.75,18324.19921875,18348.0,18348.0,270400,^NSEI
2023-05-24,18294.80078125,18392.599609375,18262.94921875,18285.400390625,18285.400390625,232600,^NSEI
2023-05-25,18268.900390625,18338.099609375,18202.400390625,18321.150390625,18321.150390625,235900,^NSEI
2023-05-26,18368.349609375,18508.55078125,18333.150390625,18499.349609375,18499.349609375,198700,^NSEI
2023-05-29,18619.150390625,18641.19921875,18581.25,18598.650390625,18598.650390625,265300,^NSEI
2023-05-30,18606.650390625,18662.44921875,18575.5,18633.849609375,18633.849609375,234400,^NSEI
2023-05-31,18594.19921875,18603.900390625,18483.849609375,18534.400390625,18534.400390625,696500,^NSEI
2023-06-01,18579.400390625,18580.30078125,18464.55078125,18487.75,18487.75,265600,^NSEI
2023-06-02,18550.849609375,18573.69921875,18478.400390625,18534.099609375,18534.099609375,270900,^NSEI
2023-06-05,18612.0,18640.150390625,18582.80078125,18593.849609375,18593.849609375,256100,^NSEI
2023-06-06,18600.80078125,18622.75,18531.599609375,18599.0,18599.0,220800,^NSEI
2023-06-07,18665.599609375,18738.94921875,18636.0,18726.400390625,18726.400390625,260100,^NSEI
2023-06-08,18725.349609375,18777.900390625,18615.599609375,18634.55078125,18634.55078125,286500,^NSEI
2023-06-09,18655.900390625,18676.650390625,18555.400390625,18563.400390625,18563.400390625,221800,^NSEI
2023-06-12,18595.05078125,18633.599609375,18559.75,18601.5,18601.5,179500,^NSEI
2023-06-13,18631.80078125,18728.900390625,18631.80078125,18716.150390625,18716.150390625,233200,^NSEI
2023-06-14,18744.599609375,18769.69921875,18690.0,18755.900390625,18755.900390625,261400,^NSEI
2023-06-15,18774.44921875,18794.099609375,18669.05078125,18688.099609375,18688.099609375,263000,^NSEI
2023-06-16,18723.30078125,18864.69921875,18710.5,18826.0,18826.0,272800,^NSEI
2023-06-19,18873.30078125,18881.44921875,18719.150390625,18755.44921875,18755.44921875,219800,^NSEI
2023-06-20,18752.349609375,18839.69921875,18660.650390625,18816.69921875,18816.69921875,211600,^NSEI
2023-06-21,18849.400390625,18875.900390625,18794.849609375,18856.849609375,18856.849609375,217500,^NSEI
2023-06-22,18853.599609375,18886.599609375,18759.5,18771.25,18771.25,252700,^NSEI
2023-06-23,18741.849609375,18756.400390625,18647.099609375,18665.5,18665.5,210600,^NSEI
2023-06-26,18682.349609375,18722.05078125,18646.69921875,18691.19921875,18691.19921875,171300,^NSEI
2023-06-27,18748.55078125,18829.25,18714.25,18817.400390625,18817.400390625,222500,^NSEI
2023-06-28,18908.150390625,19011.25,18861.349609375,18972.099609375,18972.099609375,398800,^NSEI
2023-06-30,19076.849609375,19201.69921875,19024.599609375,19189.05078125,19189.05078125,247900,^NSEI
2023-07-03,19246.5,19345.099609375,19234.400390625,19322.55078125,19322.55078125,226100,^NSEI
2023-07-04,19406.599609375,19434.150390625,19300.0,19389.0,19389.0,226900,^NSEI
2023-07-05,19405.94921875,19421.599609375,19339.599609375,19398.5,19398.5,224400,^NSEI
2023-07-06,19385.69921875,19512.19921875,19373.0,19497.30078125,19497.30078125,268300,^NSEI
2023-07-07,19422.80078125,19523.599609375,19303.599609375,19331.80078125,19331.80078125,237100,^NSEI
2023-07-10,19400.349609375,19435.849609375,19327.099609375,19355.900390625,19355.900390625,268200,^NSEI
